iter	Passed	Remaining
0	6	6583
1	11	5959
2	17	5687
3	22	5715
4	29	5868
5	34	5744
6	40	5794
7	46	5732
8	51	5708
9	58	5764
10	63	5729
11	68	5674
12	74	5662
13	79	5615
14	85	5589
15	91	5607
16	96	5558
17	101	5552
18	107	5552
19	112	5523
20	117	5493
21	124	5517
22	129	5499
23	134	5466
24	140	5481
25	145	5453
26	150	5433
27	156	5448
28	162	5437
29	167	5419
30	173	5424
31	178	5412
32	184	5392
33	190	5413
34	195	5390
35	200	5377
36	206	5374
37	211	5354
38	216	5336
39	222	5346
40	228	5334
41	233	5317
42	238	5317
43	243	5298
44	249	5286
45	255	5291
46	260	5279
47	266	5276
48	272	5280
49	277	5272
50	282	5264
51	288	5267
52	293	5251
53	299	5245
54	304	5236
55	310	5227
56	315	5223
57	321	5221
58	327	5216
59	332	5210
60	337	5201
61	343	5195
62	348	5186
63	354	5189
64	359	5177
65	365	5173
66	370	5161
67	376	5154
68	381	5147
69	387	5142
70	392	5129
71	397	5122
72	402	5116
73	407	5104
74	413	5098
75	419	5096
76	424	5087
77	430	5088
78	436	5084
79	441	5074
80	446	5067
81	452	5064
82	457	5054
83	463	5054
84	468	5042
85	473	5035
86	479	5037
87	485	5028
88	490	5018
89	496	5015
90	501	5007
91	506	4997
92	512	4998
93	517	4989
94	522	4980
95	528	4974
96	533	4965
97	538	4958
98	544	4951
99	549	4948
100	555	4941
101	560	4937
102	565	4927
103	571	4921
104	576	4917
105	582	4909
106	587	4901
107	592	4894
108	598	4888
109	604	4889
110	610	4889
111	615	4879
112	620	4871
113	626	4868
114	631	4862
115	638	4862
116	644	4866
117	650	4859
118	655	4850
119	661	4849
120	666	4840
121	671	4831
122	677	4833
123	682	4824
124	688	4817
125	693	4813
126	699	4806
127	704	4798
128	710	4799
129	716	4792
130	721	4783
131	727	4783
132	732	4775
133	738	4770
134	744	4769
135	749	4762
136	755	4757
137	760	4749
138	765	4743
139	771	4736
140	776	4733
141	781	4724
142	787	4717
143	792	4711
144	797	4703
145	802	4696
146	809	4695
147	814	4688
148	819	4680
149	825	4677
150	830	4668
151	835	4660
152	842	4664
153	849	4666
154	857	4674
155	864	4677
156	873	4687
157	893	4764
158	904	4784
159	911	4785
160	922	4807
161	927	4799
162	933	4792
163	939	4788
164	944	4779
165	949	4771
166	955	4765
167	960	4757
168	965	4749
169	972	4746
170	977	4738
171	982	4729
172	988	4723
173	993	4714
174	998	4706
175	1004	4704
176	1010	4697
177	1015	4689
178	1021	4683
179	1026	4675
180	1031	4669
181	1038	4667
182	1043	4659
183	1049	4652
184	1054	4644
185	1059	4637
186	1065	4632
187	1070	4625
188	1076	4617
189	1081	4611
190	1087	4604
191	1092	4595
192	1097	4590
193	1103	4584
194	1108	4576
195	1114	4572
196	1119	4563
197	1124	4555
198	1130	4550
199	1136	4544
200	1141	4536
201	1147	4532
202	1152	4524
203	1157	4516
204	1163	4513
205	1169	4508
206	1175	4502
207	1180	4496
208	1187	4495
209	1193	4488
210	1199	4484
211	1204	4477
212	1209	4469
213	1215	4464
214	1220	4457
215	1226	4450
216	1232	4446
217	1237	4439
218	1243	4433
219	1248	4427
220	1254	4420
221	1259	4415
222	1265	4409
223	1270	4402
224	1276	4396
225	1281	4390
226	1286	4382
227	1293	4378
228	1298	4370
229	1303	4363
230	1309	4359
231	1314	4351
232	1319	4344
233	1325	4339
234	1331	4333
235	1336	4325
236	1342	4321
237	1347	4313
238	1352	4305
239	1358	4302
240	1363	4294
241	1369	4288
242	1374	4283
243	1380	4276
244	1385	4269
245	1391	4266
246	1396	4258
247	1402	4251
248	1409	4250
249	1414	4242
250	1419	4235
251	1425	4231
252	1430	4224
253	1435	4217
254	1441	4211
255	1447	4205
256	1452	4198
257	1458	4194
258	1463	4187
259	1468	4180
260	1474	4174
261	1479	4166
262	1484	4159
263	1490	4155
264	1495	4149
265	1500	4141
266	1507	4137
267	1512	4130
268	1517	4123
269	1523	4119
270	1528	4112
271	1534	4107
272	1539	4100
273	1545	4093
274	1550	4087
275	1556	4081
276	1561	4075
277	1566	4069
278	1572	4062
279	1577	4055
280	1582	4049
281	1588	4044
282	1593	4037
283	1599	4032
284	1605	4028
285	1612	4025
286	1619	4023
287	1625	4019
288	1633	4017
289	1640	4015
290	1646	4011
291	1652	4007
292	1659	4004
293	1666	4002
294	1673	3999
295	1680	3996
296	1687	3994
297	1694	3991
298	1701	3989
299	1708	3985
300	1715	3984
301	1722	3980
302	1730	3981
303	1736	3976
304	1741	3969
305	1748	3964
306	1753	3957
307	1759	3952
308	1764	3946
309	1770	3940
310	1775	3932
311	1781	3927
312	1786	3921
313	1791	3914
314	1797	3909
315	1802	3902
316	1808	3895
317	1814	3891
318	1819	3884
319	1824	3877
320	1830	3871
321	1835	3865
322	1841	3858
323	1847	3854
324	1852	3846
325	1857	3840
326	1863	3834
327	1868	3828
328	1876	3827
329	1902	3861
330	1910	3861
331	1916	3856
332	1921	3849
333	1927	3843
334	1934	3840
335	1941	3837
336	1947	3831
337	1953	3826
338	1961	3824
339	1967	3819
340	1974	3815
341	1981	3811
342	1989	3811
343	1997	3809
344	2003	3804
345	2013	3805
346	2025	3812
347	2043	3827
348	2061	3845
349	2075	3854
350	2087	3860
351	2102	3869
352	2116	3878
353	2130	3887
354	2144	3896
355	2159	3906
356	2174	3915
357	2187	3923
358	2204	3936
359	2218	3944
360	2232	3951
361	2249	3965
362	2265	3975
363	2281	3985
364	2296	3995
365	2312	4005
366	2327	4013
367	2341	4021
368	2355	4028
369	2377	4048
370	2395	4061
371	2412	4072
372	2428	4082
373	2445	4092
374	2460	4100
375	2477	4112
376	2494	4122
377	2503	4119
378	2510	4113
379	2516	4105
380	2521	4095
381	2526	4087
382	2532	4080
383	2537	4071
384	2543	4063
385	2549	4055
386	2555	4047
387	2560	4037
388	2567	4032
389	2572	4023
390	2578	4015
391	2585	4010
392	2592	4003
393	2599	3997
394	2605	3990
395	2613	3985
396	2620	3980
397	2628	3975
398	2635	3970
399	2641	3962
400	2647	3954
401	2652	3945
402	2657	3937
403	2663	3930
404	2670	3923
405	2677	3917
406	2689	3918
407	2698	3915
408	2705	3909
409	2713	3904
410	2722	3902
411	2732	3899
412	2739	3893
413	2747	3888
414	2753	3881
415	2760	3875
416	2767	3868
417	2772	3859
418	2778	3852
419	2783	3843
420	2788	3834
421	2794	3827
422	2799	3818
423	2804	3810
424	2810	3802
425	2815	3793
426	2820	3785
427	2827	3778
428	2832	3769
429	2837	3761
430	2843	3753
431	2848	3745
432	2854	3737
433	2860	3730
434	2866	3722
435	2873	3717
436	2879	3709
437	2884	3701
438	2890	3694
439	2897	3687
440	2904	3682
441	2993	3778
442	3000	3772
443	3006	3765
444	3012	3756
445	3017	3747
446	3023	3740
447	3028	3731
448	3034	3723
449	3039	3715
450	3044	3706
451	3049	3697
452	3055	3689
453	3061	3681
454	3066	3673
455	3072	3665
456	3077	3656
457	3082	3648
458	3089	3641
459	3094	3632
460	3099	3623
461	3104	3615
462	3110	3607
463	3115	3598
464	3121	3591
465	3126	3583
466	3132	3575
467	3137	3566
468	3142	3558
469	3148	3550
470	3154	3542
471	3159	3534
472	3166	3527
473	3172	3520
474	3178	3513
475	3185	3506
476	3191	3499
477	3198	3492
478	3204	3485
479	3211	3478
480	3218	3472
481	3224	3465
482	3231	3458
483	3237	3451
484	3244	3445
485	3253	3440
486	3262	3436
487	3270	3431
488	3278	3426
489	3286	3420
490	3297	3418
491	3305	3412
492	3312	3406
493	3319	3400
494	3327	3394
495	3334	3388
496	3341	3382
497	3349	3376
498	3356	3370
499	3365	3365
500	3372	3359
501	3380	3353
502	3387	3347
503	3395	3341
504	3402	3334
505	3409	3329
506	3416	3322
507	3423	3315
508	3429	3308
509	3434	3299
510	3439	3291
511	3445	3284
512	3451	3276
513	3456	3267
514	3463	3261
515	3469	3254
516	3475	3247
517	3481	3239
518	3486	3231
519	3492	3223
520	3497	3215
521	3502	3207
522	3509	3200
523	3514	3192
524	3519	3184
525	3525	3176
526	3530	3168
527	3535	3160
528	3542	3154
529	3548	3146
530	3553	3138
531	3560	3132
532	3567	3125
533	3574	3118
534	3580	3112
535	3587	3105
536	3594	3099
537	3601	3092
538	3608	3086
539	3614	3078
540	3620	3071
541	3625	3063
542	3630	3055
543	3636	3048
544	3641	3040
545	3646	3032
546	3652	3025
547	3657	3017
548	3663	3009
549	3669	3001
550	3674	2994
551	3679	2986
552	3685	2979
553	3690	2971
554	3696	2963
555	3702	2956
556	3707	2948
557	3712	2940
558	3718	2933
559	3723	2925
560	3729	2918
561	3735	2911
562	3740	2903
563	3745	2895
564	3751	2888
565	3756	2880
566	3762	2873
567	3783	2877
568	3795	2874
569	3804	2869
570	3811	2863
571	3817	2856
572	3823	2848
573	3828	2841
574	3834	2833
575	3839	2826
576	3844	2818
577	3850	2811
578	3855	2803
579	3861	2796
580	3866	2788
581	3871	2780
582	3877	2773
583	3882	2765
584	3887	2757
585	3893	2750
586	3900	2744
587	3908	2738
588	3935	2746
589	3943	2740
590	3950	2733
591	3956	2726
592	3963	2719
593	3968	2712
594	3973	2704
595	3979	2697
596	3984	2689
597	3989	2681
598	3995	2674
599	4000	2667
600	4006	2659
601	4011	2651
602	4016	2644
603	4021	2636
604	4028	2630
605	4033	2622
606	4038	2614
607	4043	2607
608	4048	2599
609	4054	2592
610	4060	2585
611	4066	2577
612	4073	2571
613	4080	2565
614	4085	2557
615	4091	2550
616	4097	2543
617	4102	2535
618	4107	2528
619	4113	2520
620	4118	2513
621	4124	2506
622	4129	2498
623	4134	2491
624	4140	2484
625	4145	2476
626	4150	2469
627	4156	2462
628	4162	2454
629	4167	2447
630	4173	2440
631	4178	2432
632	4183	2425
633	4189	2418
634	4194	2411
635	4200	2403
636	4206	2396
637	4211	2389
638	4217	2382
639	4224	2376
640	4230	2369
641	4236	2362
642	4241	2354
643	4246	2347
644	4253	2340
645	4258	2333
646	4263	2326
647	4270	2319
648	4275	2312
649	4280	2305
650	4287	2298
651	4292	2291
652	4297	2283
653	4303	2276
654	4308	2269
655	4313	2262
656	4320	2255
657	4325	2248
658	4330	2240
659	4336	2233
660	4341	2226
661	4346	2219
662	4352	2212
663	4358	2205
664	4363	2198
665	4369	2191
666	4374	2183
667	4379	2176
668	4385	2169
669	4390	2162
670	4396	2155
671	4402	2148
672	4407	2141
673	4413	2134
674	4418	2127
675	4423	2120
676	4429	2113
677	4434	2106
678	4439	2098
679	4445	2092
680	4451	2085
681	4457	2078
682	4464	2071
683	4471	2065
684	4478	2059
685	4484	2052
686	4491	2046
687	4499	2040
688	4506	2034
689	4513	2027
690	4519	2021
691	4524	2013
692	4530	2007
693	4536	2000
694	4541	1992
695	4547	1986
696	4552	1979
697	4557	1972
698	4563	1965
699	4568	1958
700	4573	1950
701	4579	1944
702	4585	1937
703	4590	1930
704	4596	1923
705	4601	1916
706	4606	1909
707	4612	1902
708	4617	1895
709	4622	1888
710	4628	1881
711	4633	1874
712	4638	1867
713	4644	1860
714	4649	1853
715	4655	1846
716	4660	1839
717	4665	1832
718	4670	1825
719	4676	1818
720	4681	1811
721	4687	1804
722	4692	1797
723	4698	1790
724	4703	1783
725	4709	1777
726	4714	1770
727	4719	1763
728	4725	1756
729	4730	1749
730	4735	1742
731	4741	1736
732	4747	1729
733	4755	1723
734	4762	1717
735	4768	1710
736	4774	1703
737	4779	1696
738	4785	1690
739	4791	1683
740	4796	1676
741	4802	1669
742	4807	1662
743	4812	1655
744	4818	1649
745	4823	1642
746	4828	1635
747	4834	1628
748	4839	1621
749	4844	1614
750	4850	1608
751	4855	1601
752	4860	1594
753	4866	1587
754	4872	1580
755	4877	1574
756	4883	1567
757	4889	1560
758	4894	1554
759	4900	1547
760	4905	1540
761	4911	1533
762	4918	1527
763	4956	1530
764	4963	1524
765	4971	1518
766	4979	1512
767	4987	1506
768	4993	1500
769	5000	1493
770	5008	1487
771	5015	1481
772	5022	1474
773	5027	1467
774	5033	1461
775	5038	1454
776	5043	1447
777	5050	1441
778	5055	1434
779	5060	1427
780	5066	1420
781	5071	1413
782	5077	1407
783	5082	1400
784	5088	1393
785	5093	1386
786	5100	1380
787	5104	1373
788	5110	1366
789	5115	1359
790	5121	1353
791	5126	1346
792	5132	1339
793	5137	1332
794	5142	1326
795	5148	1319
796	5153	1312
797	5159	1305
798	5165	1299
799	5170	1292
800	5175	1285
801	5181	1279
802	5186	1272
803	5191	1265
804	5197	1259
805	5202	1252
806	5208	1245
807	5214	1238
808	5219	1232
809	5225	1225
810	5230	1218
811	5236	1212
812	5241	1205
813	5246	1198
814	5252	1192
815	5257	1185
816	5263	1178
817	5268	1172
818	5273	1165
819	5278	1158
820	5284	1152
821	5290	1145
822	5295	1138
823	5300	1132
824	5306	1125
825	5311	1118
826	5317	1112
827	5322	1105
828	5327	1098
829	5333	1092
830	5339	1085
831	5344	1079
832	5350	1072
833	5355	1066
834	5360	1059
835	5366	1052
836	5371	1046
837	5376	1039
838	5382	1032
839	5388	1026
840	5393	1019
841	5399	1013
842	5406	1006
843	5413	1000
844	5419	994
845	5427	987
846	5434	981
847	5440	975
848	5447	968
849	5454	962
850	5461	956
851	5468	949
852	5473	943
853	5479	936
854	5485	930
855	5490	923
856	5495	917
857	5501	910
858	5506	903
859	5512	897
860	5517	890
861	5522	884
862	5528	877
863	5533	871
864	5538	864
865	5544	857
866	5550	851
867	5556	844
868	5562	838
869	5567	831
870	5572	825
871	5578	818
872	5583	812
873	5588	805
874	5594	799
875	5599	792
876	5604	786
877	5610	779
878	5615	773
879	5621	766
880	5626	759
881	5632	753
882	5636	746
883	5642	740
884	5648	733
885	5653	727
886	5660	721
887	5665	714
888	5671	708
889	5676	701
890	5682	695
891	5689	688
892	5695	682
893	5700	675
894	5706	669
895	5711	662
896	5716	656
897	5722	649
898	5727	643
899	5732	636
900	5738	630
901	5743	624
902	5749	617
903	5754	611
904	5759	604
905	5764	598
906	5771	591
907	5776	585
908	5781	578
909	5786	572
910	5791	565
911	5797	559
912	5803	552
913	5808	546
914	5813	540
915	5819	533
916	5824	527
917	5829	520
918	5836	514
919	5840	507
920	5846	501
921	5851	495
922	5857	488
923	5863	482
924	5869	475
925	5874	469
926	5880	463
927	5886	456
928	5891	450
929	5896	443
930	5902	437
931	5909	431
932	5951	427
933	5959	421
934	5967	414
935	5973	408
936	5979	402
937	5985	395
938	5990	389
939	5995	382
940	6001	376
941	6006	369
942	6012	363
943	6017	356
944	6023	350
945	6028	344
946	6034	337
947	6039	331
948	6044	324
949	6051	318
950	6056	312
951	6061	305
952	6067	299
953	6073	292
954	6079	286
955	6084	280
956	6089	273
957	6095	267
958	6101	260
959	6106	254
960	6111	248
961	6116	241
962	6122	235
963	6128	228
964	6133	222
965	6138	216
966	6143	209
967	6149	203
968	6154	196
969	6160	190
970	6165	184
971	6170	177
972	6177	171
973	6182	165
974	6187	158
975	6193	152
976	6198	145
977	6203	139
978	6209	133
979	6214	126
980	6219	120
981	6225	114
982	6230	107
983	6235	101
984	6240	95
985	6246	88
986	6251	82
987	6257	75
988	6262	69
989	6267	63
990	6273	56
991	6278	50
992	6283	44
993	6288	37
994	6294	31
995	6299	25
996	6305	18
997	6310	12
998	6315	6
999	6320	0
